r	696	607	10	10	0	0	60s	100	1	6003
r	699	610	10	10	0	0	60s	100	1	6003
r	675	611	10	10	0	0	60s	100	1	6003
r	680	615	10	10	0	0	60s	100	1	6003
r	686	618	10	10	0	0	60s	100	1	6003
r	698	618	10	10	0	0	60s	100	1	6003
r	664	624	10	10	0	0	60s	100	1	6003
r	662	627	10	10	0	0	60s	100	1	6003
r	694	627	10	10	0	0	60s	100	1	6003
r	701	627	10	10	0	0	60s	100	1	6003
r	697	628	10	10	0	0	60s	100	1	6003
r	687	629	10	10	0	0	60s	100	1	6003
r	708	629	10	10	0	0	60s	100	1	6003
r	683	631	10	10	0	0	60s	100	1	6003
r	693	632	10	10	0	0	60s	100	1	6003
r	708	632	10	10	0	0	60s	100	1	6003
r	705	634	10	10	0	0	60s	100	1	6003
r	671	635	10	10	0	0	60s	100	1	6003
r	709	635	10	10	0	0	60s	100	1	6003
r	669	636	10	10	0	0	60s	100	1	6003
r	662	637	10	10	0	0	60s	100	1	6003
r	715	639	10	10	0	0	60s	100	1	6003
r	704	640	10	10	0	0	60s	100	1	6003
r	655	641	10	10	0	0	60s	100	1	6003
r	659	642	10	10	0	0	60s	100	1	6003
r	682	644	10	10	0	0	60s	100	1	6003
r	674	645	10	10	0	0	60s	100	1	6003
r	680	645	10	10	0	0	60s	100	1	6003
r	698	645	10	10	0	0	60s	100	1	6003
r	683	724	10	10	0	0	60s	100	1	6091
